"source_id","relative_path","kind","bytes","sha256","git_state","provenance","license_status","disposition","direct_transfer_approved","notes"
"legacy-cad-2026-07-23","cad-file/dxf/CURRENT_STATUS.md","documentation","8537","8f4fcbe43101f58bcd12f141f3195c28c580441cb4358d081bb2aaecd3c14afd","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/INDEX.md","documentation","2428","3cfc31bd2a80f0dac92f1e533bb9affcf45bf19d3e7636fa8f568d90a33d3e50","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/corpus/README.md","documentation","1268","1aa6120ad8612bd0978cbfd6c1205bcac89b2fccc4ecde449ad2926299eedaf3","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/corpus/web-incoming-20260701-manifest.csv","evidence","4218","d67c4367c73e67a0625ea1a55eed784a09fe7f3f922dfadfd9c66999b3e5f22e","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/corpus/web-incoming-20260701.md","documentation","4455","361ded4c9015172aad144bce767ca5a7c205109b5d75eb087a8419118732fb9a","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/experiments/HATCH-open-source-prior-art-review.md","documentation","2894","8725b9b44a058e2bc7d8b34c295a0531a0586b51d9f297022bc0925978a5e809","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/experiments/README.md","documentation","282","d5972a9a2c844f9b8337dc8dfab83248885459849af747c79059c31489985274","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/failures/HATCH-seed-points-counted-as-boundary-vertices.md","documentation","1465","b9de39579a315c9527e77ecd90bb1e4050dcb55d97c5558e6011ad4b5fa3ec66","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/failures/README.md","documentation","360","0b66d007d37240375f385c3373c47fd8700979cc145c41b2c35b8dbbf603815a","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/finished/CAD-FILE-DXF-M1.md","documentation","2207","707c00e46c6419f662c9834045290f5317dba97b7485c591ca831ec7017fa0d2","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/finished/CAD-FILE-M0.md","documentation","1022","8dcd06a188d50af1aef2733ababb75bfa54773a4298dafa79db63a791f7be8de","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/finished/DXF-100-A1-ATTDEF-structural-policy.md","documentation","3006","0236a0dbbea595189e3facef60fa9dc90f7bc91c367ed9d8788413d8ba55fd45","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/finished/DXF-100-H1-HATCH-boundary-accounting.md","documentation","1536","78a2a4aa4e61e82c945616a07a0b8a4db8f272adf03be98bdbee061c17135788","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/finished/DXF-100-H2-HATCH-v17-corpus-gate.md","documentation","2051","183183c0968e694b0a1a1e6a84fd5927819419709f9b9aeb828ded1083740a80","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
"legacy-cad-2026-07-23","cad-file/dxf/finished/DXF-100-H3-HATCH-seed-point-accounting.md","documentation","2207","4a23983ff6bbd9a26b19b7d09ab64b473f31266add031fee64eee61c0b0b440d","untracked","legacy-local-untracked","unverified-no-repo-license","reference_only","false","No direct transfer approved by M1."
